编号,武将,阵营,专属装备名,装备类型,特殊效果,联动说明
1,曹操,魏,倚天剑,武器,攻击时有20%概率额外恢复1点行动点,行动点联动：每回合额外触发
2,曹操,魏,七星宝刀,武器,攻击有负面目标时伤害+15%,负面联动：配合司马懿体系
3,曹操,魏,魏王战甲,防具,每回合开始时额外+2统御容量,兵种联动：强化兵种编制
4,刘备,蜀,雌雄双股剑,武器,攻击时可选择转移至另一目标,仁德联动：友军保护
5,刘备,蜀,的卢马,坐骑,位移时无视障碍物,机动联动：战场位移
6,刘备,蜀,仁德令牌,防具,友军获得治疗时自身获得等量护盾,防具联动：治疗转化
7,关羽,蜀,青龙偃月刀,武器,暴击概率提升至40%,武圣联动：暴击强化
8,关羽,蜀,赤兔马,坐骑,冲锋距离+1格,位移联动：更长位移
9,关羽,蜀,汉寿亭侯印,防具,低血量时攻击必定暴击,武圣联动：残血暴击
10,张飞,蜀,蛇矛,武器,连击时伤害递增效果+50%,连击联动：递增强化
11,张飞,蜀,丈八蛇矛,武器,攻击同一目标3次后触发恐惧,咆哮联动：恐惧控制
12,张飞,蜀,战吼头盔,防具,攻击时概率施加1层恐惧,控制联动：几率控制
13,诸葛亮,蜀,羽扇,武器,火攻伤害+25%,火谋联动：火攻强化
14,诸葛亮,蜀,八卦衣,防具,每回合额外+1行动点,行动点联动：卧龙核心
15,诸葛亮,蜀,四轮车,坐骑,战术卡效果+20%,战术联动：策略强化
16,赵云,蜀,青釭剑,武器,闪避成功后下次攻击必暴击,龙胆联动：闪避暴击链
17,赵云,蜀,亮银枪,武器,攻击时若处于闪避状态则伤害翻倍,闪避联动：闪避输出
18,赵云,蜀,白袍战甲,防具,闪避率+15%,龙胆联动：闪避增强
19,马超,蜀,铁骑枪,武器,骑兵协同伤害+30%,西凉联动：骑兵强化
20,马超,蜀,战马铠甲,防具,首回合伤害+20%,先锋联动：首回合爆发
21,孙权,吴,古锭刀,武器,血量低于50%时攻击+20%,制衡联动：逆境强化
22,孙权,吴,孙权战甲,防具,手牌差转化为护甲,制衡联动：防御转化
23,周瑜,吴,火攻扇,武器,火属性伤害+30%,火谋联动：火攻核心
24,周瑜,吴,都督印,防具,灼烧目标受到的火伤再次+30%,火谋联动：灼烧放大
25,吕蒙,吴,白衣战袍,防具,雨天获得隐匿,环境联动：雨天隐匿
26,吕蒙,吴,水战枪,武器,水系战术卡效果+25%,水系联动：控制强化
27,甘宁,吴,铃铛,饰品,标记目标后伤害+20%,夜袭联动：标记强化
28,甘宁,吴,锦帆战衣,防具,夜袭状态下闪避+20%,夜袭联动：闪避增强
29,陆逊,吴,火攻令,武器,火种达到3层时自动引爆,后发联动：火种机制
30,陆逊,吴,陆逊战袍,防具,受到攻击时反伤+30%,后发联动：反伤增强
31,吕布,方天画戟,武器,可同时攻击2个目标,无双联动：多目标
32,吕布,赤兔马,坐骑,首回合移动+2格,冲锋联动：先手优势
33,吕布,兽面连环铠,防具,生命值越高防御越高,无双联动：血量防御
34,貂蝉,群雄,闭月琴,武器,施加魅惑后获得1层闪避,离间联动：自保
35,貂蝉,群雄,凤求凰,饰品,攻击被转移的目标额外+15%,转移联动：反击
36,袁绍,群雄,袁绍佩剑,武器,河北兵种协同效果+20%,河北联动：同族强化
37,袁绍,群雄,四世三公印,防具,每回合额外抽1张手牌,四世三公联动：过牌
38,董卓,群雄,七星刀,武器,杀死单位时恢复效果+50%,暴政联动：吞噬增强
39,董卓,群雄,丞相战甲,防具,消耗友军单位时获得其攻击力,暴政联动：吞噬转化
40,华雄,群雄,先锋战斧,武器,首回合伤害+25%,先锋联动：首回合爆发
41,华雄,群雄,先锋铠甲,防具,击败单位后下回合必定先手,先锋联动：先手优势
42,司马懿,魏,鹰视狼顾,武器,负面卡数量达到9层时战术卡-1费,隐忍联动：终极强化
43,贾诩,魏,毒士令牌,防具,每获得3层诡谋转化为1层护盾,毒士联动：防御转化
44,典韦,魏,恶来铁戟,武器,生命值越低攻击越高效果翻倍,恶来联动：低血爆发
45,典韦,魏,忠义战甲,防具,无法获得护甲但攻击恢复生命效果+50%,恶来联动：恢复强化
46,张辽,魏,逍遥津枪,武器,首击强化时额外获得1层破甲,威震联动：破甲获取
47,夏侯惇,魏,刚烈战甲,防具,受击后下回合近战伤害+30%,刚烈联动：受击强化
